"area"	"nestbox"	"day"	"time"	"playback_id"	"treatment"	"minute"	"minimum_distance"	"alarm"	"wing_flick"	"graded_resp"
"161"	"VIC"	"100"	2019-05-14	1899-12-31 08:30:00	"cc-ps-10"	"cc-ps"	6	40	0	0	"1"
"162"	"VIC"	"100"	2019-05-14	1899-12-31 08:30:00	"cc-ps-10"	"cc-ps"	7	40	0	0	"1"
"163"	"VIC"	"100"	2019-05-14	1899-12-31 08:30:00	"cc-ps-10"	"cc-ps"	8	40	0	0	"1"
"164"	"VIC"	"100"	2019-05-14	1899-12-31 08:30:00	"cc-ps-10"	"cc-ps"	9	40	1	0	"2"
"165"	"VIC"	"100"	2019-05-14	1899-12-31 08:30:00	"cc-ps-10"	"cc-ps"	10	40	0	0	"1"
"166"	"VIC"	"100"	2019-05-14	1899-12-31 08:30:00	"cc-ps-10"	"cc-ps"	11	40	1	0	"2"
"167"	"VIC"	"100"	2019-05-14	1899-12-31 08:30:00	"cc-ps-10"	"cc-ps"	12	40	0	0	"1"
"168"	"VIC"	"100"	2019-05-14	1899-12-31 08:30:00	"cc-ps-10"	"cc-ps"	13	40	0	0	"1"
"169"	"VIC"	"100"	2019-05-14	1899-12-31 08:30:00	"cc-ps-10"	"cc-ps"	14	40	0	0	"1"
"170"	"VIC"	"100"	2019-05-14	1899-12-31 08:30:00	"cc-ps-10"	"cc-ps"	15	40	1	0	"2"
"171"	"VIC"	"122"	2019-05-14	1899-12-31 09:00:00	"cc-cs-1"	"cc-cs"	6	40	0	0	"1"
"172"	"VIC"	"122"	2019-05-14	1899-12-31 09:00:00	"cc-cs-1"	"cc-cs"	7	40	0	0	"1"
"173"	"VIC"	"122"	2019-05-14	1899-12-31 09:00:00	"cc-cs-1"	"cc-cs"	8	40	0	0	"1"
"174"	"VIC"	"122"	2019-05-14	1899-12-31 09:00:00	"cc-cs-1"	"cc-cs"	9	40	0	0	"1"
"175"	"VIC"	"122"	2019-05-14	1899-12-31 09:00:00	"cc-cs-1"	"cc-cs"	10	40	0	0	"1"
"176"	"VIC"	"122"	2019-05-14	1899-12-31 09:00:00	"cc-cs-1"	"cc-cs"	11	40	0	0	"1"
"177"	"VIC"	"122"	2019-05-14	1899-12-31 09:00:00	"cc-cs-1"	"cc-cs"	12	40	0	0	"1"
"178"	"VIC"	"122"	2019-05-14	1899-12-31 09:00:00	"cc-cs-1"	"cc-cs"	13	40	0	0	"1"
"179"	"VIC"	"122"	2019-05-14	1899-12-31 09:00:00	"cc-cs-1"	"cc-cs"	14	40	0	0	"1"
"180"	"VIC"	"122"	2019-05-14	1899-12-31 09:00:00	"cc-cs-1"	"cc-cs"	15	40	0	0	"1"
"181"	"RAL"	"E14"	2019-05-15	1899-12-31 10:30:00	"cc-ps-1"	"cc-ps"	6	40	0	0	"1"
"182"	"RAL"	"E14"	2019-05-15	1899-12-31 10:30:00	"cc-ps-1"	"cc-ps"	7	10	0	0	"2"
"183"	"RAL"	"E14"	2019-05-15	1899-12-31 10:30:00	"cc-ps-1"	"cc-ps"	8	2	0	0	"2"
"184"	"RAL"	"E14"	2019-05-15	1899-12-31 10:30:00	"cc-ps-1"	"cc-ps"	9	40	1	0	"2"
"185"	"RAL"	"E14"	2019-05-15	1899-12-31 10:30:00	"cc-ps-1"	"cc-ps"	10	40	0	0	"1"
"186"	"RAL"	"E14"	2019-05-15	1899-12-31 10:30:00	"cc-ps-1"	"cc-ps"	11	40	0	0	"1"
"187"	"RAL"	"E14"	2019-05-15	1899-12-31 10:30:00	"cc-ps-1"	"cc-ps"	12	40	0	0	"1"
"188"	"RAL"	"E14"	2019-05-15	1899-12-31 10:30:00	"cc-ps-1"	"cc-ps"	13	40	1	0	"2"
"189"	"RAL"	"E14"	2019-05-15	1899-12-31 10:30:00	"cc-ps-1"	"cc-ps"	14	40	0	0	"1"
"190"	"RAL"	"E14"	2019-05-15	1899-12-31 10:30:00	"cc-ps-1"	"cc-ps"	15	40	0	0	"1"
"191"	"VIC"	"74"	2019-05-16	1899-12-31 07:45:00	"cc-ps-2"	"cc-ps"	6	40	0	0	"1"
"192"	"VIC"	"74"	2019-05-16	1899-12-31 07:45:00	"cc-ps-2"	"cc-ps"	7	10	0	1	"3"
"193"	"VIC"	"74"	2019-05-16	1899-12-31 07:45:00	"cc-ps-2"	"cc-ps"	8	10	0	1	"3"
"194"	"VIC"	"74"	2019-05-16	1899-12-31 07:45:00	"cc-ps-2"	"cc-ps"	9	10	0	0	"2"
